Метрика;Baseline, среднее ± SD;Baseline, медиана;Optimized, среднее ± SD;Optimized, медиана;Абсолютное снижение;Относительное снижение;95% ДИ разницы;p-value;Единица
scroll-to-next-paint;10,47 ± 2,2;10,13;9,79 ± 2,2;9,88;0,68;6,49%;[0,03; 1,34];0,0206;мс
Строки в DOM после загрузки;10000 ± 0;10000;20 ± 0;20;9980;99,8%;[9980; 9980];p < 0,0001;стр.
Строки в DOM при прокрутке;10000 ± 0;10000;28,4 ± 0;28,4;9971,6;99,72%;[9971,6; 9971,6];p < 0,0001;стр.
DOM-узлы после загрузки;110169,12 ± 0,89;110169;406 ± 0;406;109763,12;99,63%;[109762,95; 109763,29];p < 0,0001;узл.
